region,prefecture
札幌,北海道
函館,北海道
旭川,北海道
室蘭,北海道
苫小牧,北海道
釧路,北海道
知床,北海道
帯広,北海道
北見,北海道
青森,青森
弘前,青森
八戸,青森
岩手,岩手
盛岡,岩手
平泉,岩手
宮城,宮城
仙台,宮城
秋田,秋田
山形,山形
庄内,山形
福島,福島
会津,福島
郡山,福島
白河,福島
いわき,福島
水戸,茨城
土浦,茨城
つくば,茨城
宇都宮,栃木
那須,栃木
とちぎ,栃木
群馬,群馬
前橋,群馬
高崎,群馬
大宮,埼玉
川口,埼玉
所沢,埼玉
川越,埼玉
熊谷,埼玉
春日部,埼玉
越谷,埼玉
千葉,千葉
成田,千葉
習志野,千葉
市川,千葉
船橋,千葉
袖ヶ浦,千葉
市原,千葉
野田,千葉
柏,千葉
松戸,千葉
品川,東京
世田谷,東京
練馬,東京
杉並,東京
板橋,東京
足立,東京
江東,東京
葛飾,東京
八王子,東京
多摩,東京
横浜,神奈川
川崎,神奈川
湘南,神奈川
相模,神奈川
山梨,山梨
富士山,山梨
新潟,新潟
長岡,新潟
上越,新潟
長野,長野
松本,長野
諏訪,長野
富山,富山
石川,石川
金沢,石川
福井,福井
岐阜,岐阜
飛騨,岐阜
静岡,静岡
浜松,静岡
沼津,静岡
伊豆,静岡
名古屋,名古屋
豊橋,名古屋
三河,名古屋
岡崎,名古屋
豊田,名古屋
尾張小牧,名古屋
一宮,名古屋
春日井,名古屋
三重,三重
鈴鹿,三重
四日市,三重
伊勢志摩,三重
滋賀,滋賀
京都,京都
なにわ,大阪
大阪,大阪
和泉,大阪
堺,大阪
奈良,奈良
飛鳥,奈良
和歌山,和歌山
神戸,兵庫
姫路,兵庫
鳥取,鳥取
島根,島根
出雲,島根
岡山,岡山
倉敷,岡山
広島,広島
福山,広島
山口,山口
下関,山口
徳島,徳島
香川,香川
高松,香川
愛媛,愛媛
高知,高知
福岡,福岡
北九州,福岡
久留米,福岡
筑豊,福岡
佐賀,佐賀
長崎,長崎
佐世保,長崎
熊本,熊本
大分,大分
宮崎,宮崎
鹿児島,鹿児島
奄美,鹿児島
沖縄,沖縄
